,Invoice Number,Description,Payment Date,Distribution Amount,Supplier,Project diverted From,Project diverted to
0,1274W0519060020,"Payment for inv 52a $ 30,496.70+$ 35 bank charges @ 3,824.74 Musita Lumino",22-Jun-19,"116,775,814",MBW Consult- ing Ltd- USD,1176 Hoima- wanseko road,1274 Lusita- Lumino road- Busia/Majanji road
1,1274W0519060021,WHT MBW inv 52a Musita Lumino,25-Jun-19,"6,998,516",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1274 Lusita- Lumino road- Busia/Majanji road
2,1274W0519060022,"Payment for In- voice No.52b USD. 1,553.04 + $35 @ 3,824.74 Musita- Lumino road",22-Jun-19,"6,073,839",MBW Consult- ing Ltd- USD,1176 Hoima- wanseko road,1274Lusita- Lumino road- Busia/Majanji road
3,1274W0519060023,WHT for invoice no 52b Musita-Lumino road,25-Jun-19,"379,147",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1274 Lusita- Lumino road- Busia/Majanji road
4,1275L0519040013,Firstland survey- ors-Inv 046-Con- sultancy services for involuntary resettlement-Olwi- yo Gulu,02-May-19,"148,510,829",Firstland Sur- veyors,1176 Hoima- wanseko road,1275 Olwiyo- Gulu-Acholi- bur-Musingo
5,1275L0519040014,6%WHT on First- land surveyors Inv 046-Consultany services for invol- untary resettle- ment-Olwiyo Gulu,02-May-19,"7,955,937",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1275 Olwiyo- Gulu-Acholi- bur-Musingo
6,1275L0519040015,Katuramu - Invoice 06 - Con- sultancy services for expropriation of land -Acholibur Musingo,02-May-19,"111,717,648",Katuramu and Company,1176 Hoima- wanseko road,1275 Olwiyo- Gulu-Acholi- bur-Musingo
7,1275L0519040016,6%WHT on Invoice 06 - Katuramu and Company - Con- sultancy services for expropriation of land - Acholibur Musingo,02-May-19,"5,984,874",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1275 Olwiyo- Gulu-Acholi- bur-Musingo
8,1275W0519040009,"Zhongmei-IPC 19F- USD 508,070.43 + USD 35 @ 4042.36 - Civil works on Olwiyo Gulu",18-Apr-19,"2,053,945,066",Zhongmei Engi- neering Group Ltd,1176 Hoima- wanseko road,1275 Olwiyo- Gulu-Acholi- bur-Musingo
9,1275W0519040010,Zhongmei- IPC 18(balance payt)&19-Civil works on Olwiyo Gulu,23-Apr-19,"2,135,646,138",Zhongmei Engi- neering Group Limited,1176 Hoima- wanseko road,1275 Olwiyo- Gulu-Acholi- bur-Musingo
10,1275W0519040012,"CICO-IPC 18 (bal- ance payment), 29,30,31 - Civil works on Acholibur Musingo",30-Apr-19,"1,005,642,624",Chongqing International Construction Corporation,1176 Hoima- wanseko road,1275 Olwiyo- Gulu-Acholi- bur-Musingo
