,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"413,000"
0,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"306,800"
1,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"289,100"
2,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"177,000"
3,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"153,400"
4,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"123,900"
5,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"94,400"
6,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"82,600"
7,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"42,480"
8,02/05/2019,22961497,Damazo Sourcing Group,Payment For Items Purchased For Works Dept As Per Attached Lpo No 22,263101,LG Conditional grants,"33,040"
